text,native,who
yeah yeah I think so I think you know singapore is a very special track the last few years have been safety cars in every race and and and it's a lot of things to play for and we I think you know I trust in the team and and I trust in the car that we have in the race car and I hope I hope that we can have a good race and score points that's that's what we are going to be working tonight for,0,Franco
here with you mate so super excited to be here in the in the interview very nice to meet you for the first time just uh very excited from the weekend still just came home so yeah nice to be talking with you,0,Franco
I mean I I do feel it and trust me it's insane this word that I'm receiving race by race I just won in Imola few days ago as well so it's increasing and increasing and growing and growing the world them good I think it's by far the the biggest you know fans and and it's lots of people that are pushing me forward from I think compared to any other country just so so much the sport that I'm receiving from my home country and is such a privilege and such a pleasure and I'm you know every success that I have just looks like so so many people enjoy it and that so many will get happy about it so it's it is a pleasure it's I think something that drives me forward and and you know keeps pushing me and motivating me to to achieve good results and achieve at least my my biggest stream that is Formula One but yeah it's going well so far doing good steps forward so yeah let's see how it going do here,0,Franco
yeah it is it is different the car it's quite a bit different and I mean I didn't find that I had to change my drawing so much at the beginning but then looking at data and you know understanding a little bit more heavy the car is and how how the force works in the car I had to do some steps and if you see how we started maybe the first few races and how we are doing now one and after after this you know three-day test in Barcelona that when very well for us I just won the racing Imola so it shows that we did I think very good steps forward and that this the testing was was needed to helping me you know kind of do those steps and then fix fix them in my driving and even though of course the test was a was a partial result we could you know put in put in official race weekend or what we learned there and and have a really really really good racing Imola so I'm doing you know I'm still doing a lot of steps forward but I think the most important is to to keep learning how the car the team we we know that there is still a lot more time to find in many many little details so going well so far of course very very long year ahead so I think Lads of opportunities to keep keep improving myself and and also the team so I think there's still nine races left and we we just started the year and as a rookie you know always the first few races are a little bit more tricky so let's see how how we continue the year,0,Franco
yeah thank you George it is a pleasure it is a pleasure and hope to be here back soon again cheers mate,0,Franco
hello Jim yes I am am very well and very happy to you know be back uh after Monaco resting a bit now in in here in Spain uh in the house of my managers for a for a few days and just training a bit relaxing and um recovering you know from from two tough weekends um very nice weekends but also you know were eh super tough and a lot of things going on during a race weekend so just trying to to rest a bit yesterday was yesterday I got a bit older as well so um it's a still get this feeling that I get starting to get a bit too old but you know I I was say ,0,Franco
yeah yeah I I did enjoy um of course I would have enjoyed a bit more U if it would have been after a podium in Monaco um but unfortunately it wasn't so we had to to to you know celebrate for some different reason um but it was still a nice day here yeah you know in Spain was super sunny and and very hot so you know I could relax quite a lot and just meet some friends and family and um you know be surrounded a bit by nice people here in in Spain so super super happy um and yeah just uh relaxing a bit ,0,Franco
um yeah I don't know I mean for me Imola always delivers you know I have had so many good results in Imola I think I I never left disappointed a race in Italy so far so um I know it has been very nice to me since I started racing there even in Formula I finished in the podum as well so it's you know it's been a track where I think I get on quite well I really like it and the kind of Corners I think really suit my my driving style and it just goes very well there normally so um it's very nice also to get my my first win in Formula 2 there um I did get my first win in F3 and then I got my my first win in Formula 2 so it was I think you know it is a very special track and it is where you achieved you know very important things and where I feel that we started to turn over our our season in F2 um so yeah of course happy about this last two races um a bit disappointed with Monaco but it it is part of the game and uh we had very good good race weekends I think we improved what we needed to improve um qualifyings were were good and also the the race space were were really good as well um a part of course of the last race but that was due to to different stuff um and and you know we worked on the things that we had to and and we I think delivered quite well so I'm happy with these two weekends just you know a bit of This bitter suweet um of not finishing uh where we should have in Monaco but okay okay,0,Franco
um yes I think a lot of things happened since we last spoke um you know it's it's very nice when you when you see that you are growing up year after year and um you get I think a big motivation from it you know from first year in F3 I I won some races I was on poll and then second year signed with Williams ER I I went back to MP to my team we had a super good year um even though maybe we didn't finish as as we should have um had was was a really really positive year and and now here in in Formula 2 they a Formula One in the middle so it's been you know a lot of things going on and um a lot of dreams since I was young achieved um that now are becoming goals you know when when when you do it once um you start to it starts to not be a dream anymore maybe starts to be something that you you look forward in the future and something that you target um and it was I mean think I since I was seven or six years old and starting to watch eh you know Motorsport and racing in Formula 1 and racing in Argentina um my my dream was to one day jump in a Formula 1 car and last year after after only a couple of month with Williams I achieved it so it was um you know incredible the support that I receiv received from them to to put me in that car after only one year in F3 um with them so the trust was eh was you know I think a very important thing for me to have from them and I am you know very happy and very grateful to be part of of the team they have been as I said very supportive and it's a pleasure to be with with Williams and of course that they have helped me to to now achieve this uh this year racing in formula 2 and it is also a pleasure to be competing in the championship that is um before Formula 1 and of course in only the fourth weekend to already have a race wi it it is is very special and I am very happy about it but of course I I want more we I think racing drivers are a bit like that you know you you don't get happy um and and stay happy for for long and you quite quick want to want to change and and and start to you know get the result again not only I win once is doesn't mean a lot I want to win many more races so um see a long way to to go this season and I think we have a lot of work to do with team but it's going it's going well luckily ,0,Franco
yeah I'm sure we will I think get you know better results and and more consistency in these tracks um I think a very good news is that the car is is looking very very good at the moment in in the European tracks that that are you know I bit maybe not so similar to Monaco and Imola I would say a bit more kind of jeda and um Melbourne which are you know different are ma a bit more flat and we are looking good there so looking forward totrucks like Barcelona silveron Austria I think trucks that we can work quite well with our car and um let's see how it goes ,0,Franco
I am excited to to come back you know to tracks that we are a bit more used to and starting to race there I also really enjoyed it to be honest racing in in Monaco and and melbour even if it it didn't go super well um there are we I I always enjoy eh in Australia and going there it's it is amazing I I love the country and you know to to get the chance to drive so far away um of Europe once it it is really cool as well and um I did enjoy a lot the season so far of course I have worked quite hard to to improve things that you know I had to um and and luckily you know I could I could fix it quite quick and I think that the test of Barcelona that we've had it was very helpful to to you know just clean those Le little details a little bit that I was not fully fully on it yet um and it has worked you know after the this the performance was much better in in some aspects that we need to improve and and I am happy with that then,0,Franco
um yeah Jim I think you know to have how in the team has been um to me quite helpful um to to improve of course those those things that I was not used to I think with my driving style I was you know driving just quite different to what the car needed like in in F2 and like I could see that quite quite quickly in the season and and fix it quite fast which was I think very important um I had done you know some little mistakes as well in the year beginning first first two rounds and then um was good to fix it quick as well I think was those two or three first races where I I I could do some I could afford to do some you know little mistakes and then eh quite quickly I think I I realized and starting to work quite hard in the things I had to and and focusing well on on the things I had to focus with the team and and they have been helpful to um you know show me a pretty big and clear picture about um what we needed to focus on and and we did and and it is going well and then is of course was um a big part of it eh you know to have his data um it was it was very good and and it is working well of course,0,Franco
um he was was faster the first few rounds and now the last two I have been in front in qualifying so it's it is good news you know for me to um already be a lot closer to him h of course would be better in front always but to see me to see me you know just there and and being close to him it it's a you know a little boost to to that just tells you that you are doing the things correctly and that you are going through the right direction um so yeah I think it is a way to go it's a long year and um luckily I have a lot of people that want me to do well as well and that are you know supporting me a lot and helping me you know do step by step and and push me forward so I think it is um important to have you know the right team around you um and I think I do this year so I'm quite happy still need to do a lot more work um but I you know I'm happy that I saw an improvement quite quickly in the year that's that I think it's is the best news so far even though we still need to to you know get more podiums and a lot more wins the car is capable of doing that so let's see how how we continue the year,0,Franco
no I think it was a a very good race yeah after a tricky start you know I settled into my Pace I knew I had a good race Pace coming from testing and with the work that we've done and just settled into my rhythm and started overtaking cars and yeah kept it up with Checo which wasn't easy today because the Redwoods had really good pace and and a good strategy with a new soft but uh yeah uh very happy and uh encouraging start,0,Sainz
I'm going to overtake obviously when I have a chance and when it's safe and clean like it was today uh especially I had a good Pace I could extend my first stop so I had always a bit of a a tire advantage that I created for myself so the overtaking was always uh clean tidy and and safe which is uh the way I like to go racing,0,Sainz
I think I I've been in a one in years I as I said before you know every race I keep trying to prove to everyone what I'm capable of of doing and uh at the same time I've been so many years here that everyone knows more or less what I'm capable of doing one given the right uh yeah working environment the right tools to to fight you know and to is a good prove of it uh yeah as I said my future is something I'm not thinking about at the moment I think only about it in my off time the rest I'm focused in doing the races that I did today,0,Sainz
yep no and I put uh even harder work today it's just that it doesn't show no and unfortunately this is our our situation exactly what uh what I was talking about yesterday no we know race pace and high speed Corners it's our main weakness and unfortunately Barcelona has a high degradation tarmac a high degradation configuration and uh and a lot of high-speed Corners which is our main weakness and that's why today we were struggling so much out there and also with the predictability of the car and everything we were just I did everything I could I did the the most optimal driving and steams that I could do but unfortunately P5 was the best we could achieve,0,Sainz
we've identified our weaknesses and we exactly know where we are lacking and the feedback is there and and intention is there we just need time we need to keep trying keep bringing things to improve the package and um and yeah Mercedes today prove that they've done a good step and it's a good reference you know so um yeah we're gonna try our best I see the team United I see the team pushing flat out bagimaranello we probably just put the upgrade in the worst possible circuit for us which also doesn't doesn't help,0,Sainz
yeah I think we had a a strong first in then we were on for a a good result there at the beginning but unfortunately yeah we elected the route to to undercut try for the undercard and go short in the first team and then the race become just a bit too long in the medium and hard compounds today they were not performing well and um we were sliding a lot and yeah in the end the guys who went for the soft medium soft were we're on the better end and uh outperformed our strategy so yeah uh we tried everything but unfortunately there wasn't a way to be the Mercedes today,0,Sainz
nothing just a a good uh move in lap two and then uh I was trying to get Lis uh four or five laps later I was on the attack as I said we went for the undercut uh which worked but then they were just uh quicker and with fresher tires I couldn't keep them behind,0,Sainz
I think we should be a bit more competitive but it's clear that in tracks like Barcelona we still have a lot of work to do because we are not very competitive,0,Sainz
honestly a very a very unfortunate ending first of all I'm glad Checo and I are okay but uh yeah I drove a solid race I was very quick out there I was coming back in the top three fastest man on track for the last 20 20 laps but uh unfortunately after passing Checo into turn one and uh after fighting Charles in two turn two there was a very unexpected contact exit in turn two that honestly I still don't understand how how it happened didn't do any erratic Maneuvers any aggressive moving on Checo or anything like that and we for some reason that I don't understand still we we collided and uh that was the end,0,Sainz
I'm not sure honestly you never know what can happen but I this time I'm 100% convinced I didn't do anything wrong or anything aggressive so let's see,0,Sainz
"That's the plan, to turn it around in Singapore, thank you",0,Sainz
well I think a year is plenty of time no to for good things to happen still and a year in red where obviously we will try to give a our maximum for for this team for for for the team and for everyone at home and and in maranelo an important year ahead where we want to show progress and we want to be fighting for for more things than last year where I prepared myself the the best I could and I'm confident we can make step forwards ,0,Sainz
yeah if I'm honest Lawrence I only did an installation lab for F1 gigs that know what a installation lap is is just making sure all the systems work the car breaks turns and yeah steers and accelerates so you don't push it to the limit so it's impossible to to know if the car is uh a bit quick quicker much quicker a bit slower or whatever you know it's we until we don't push it that the limitting bin is impossible to know but we had no issues and the car is running smoothly so that's that's positive,0,Sainz
yeah I think me I've seen some very good progress here in the factory especially with uh with very clear ambitions and very clear targets of what we want to improve on this year's car a very clear leadership and uh I want to see obviously an improvement in the two main areas that we were weak last year which was U uh the drive the general drivability of the car I think you could see us quite on the edge last year with in qualifying laps and and race with having plenty of moments out there and then obviously the the race space uh race space I think is something that everyone needs to improve if we want to avoid the Max and Red Bull winning winning some extra races,0,Sainz
yeah I think this year I've changed quite a lot the way I I train and I've yeah rethought a bit about my my my my program for for a 24 race calendar which is I think is going to be the biggest challenge ever in form one for for drivers the cars are getting quicker they're getting more physical again and everyone I think is going to need to do a step forward this year I think I've made two in terms of preparation and uh I yeah I feel ready I've changed I'm doing a lot more cardio putting a lot of focus on on on that endurance to make sure also to recover well with jet lags and and uh and traveling which is going to be fundamental,0,Sainz
yeah I think we in general I had a solid year in 2023 um and uh we want to build up from that I think uh the important thing in in F1 is a bit what we did in silver in Singapore no when there's an opportunity to shine when there's an opportunity to win make sure we take it because uh it's that's what's going to keep us in in that uh in in that championship fight we have a chance to fight for it and then obviously keep becoming more and more consistent I think we did some progress also in that last year and um and the team was working really well towards the end so keep making that that progress,0,Sainz
well well first of all it was obviously a surprise no I think the the news surprised F1 world as much as it surprised me at at the time eh obviously I got to know earlier than than than than when the news went out so I was able to prepare and to analyze and think bad a bit about the situation for me um I'm only going to say that I'm proud you know of these three years that I've done with Ferrari proud of uh of of uh of being a Ferrari driver I think with still one year ahead there's still many good moments and many good things that could happen still with me in red and uh and yeah and you know I think life is long I think there's going to be very good opportunities out there in them in the in the Silly Season you know and I now it's time to to take an important decision for for myself and for the future,0,Sainz
yeah exactly you know I I know I've been performing in well recently you know and i' I know that there's going to be very good opportunities out there to to remain competitive in the future in other teams and uh now it's time as I said to analyze carefully listen a bit to to to everyone and know hear a bit from everyone and and make sure that I give myself some time to to know exactly what I want to do in the future where I want to go and where I'm going to spend my next uh who knows three four years of my career you know so it's an important decision I'm turning 30 this year which means I'm probably around my peak I think so uh I want to I want to make sure I keep myself some time and to analyze and and hear a bit everyone and see where where I can go,0,Sainz
yeah I think it's is not a lie that wherever I will go next I will look for stability and and and an interesting project to to become uh uh a champion with in the future I really believe in in stability I I'm a big believer in in in in consistency in getting to know the people you work with and getting yourself involved in the team that you're in for for more than one or two years so it's no secret that that is my my my preference and yeah that's why I need to keep myself of time to to decide well,0,Sainz
uh hopefully um Podium some wins and whether that takes us to a championship fight I will not know uh it is impossible to know uh but hopefully that should be progress compared to last year where we had a little bit of podiums and one win no so let's see also a more drivable car a car that I'm able to have fun with a car that I'm able to overtake unfortunately last year I was constantly defending in the races more than overtaking but uh yeah something that lets us play around a little bit more,0,Sainz
yeah thank you well uh first of all obviously I having a good moment right now but also obviously feeling well physically mentally and at one with a car helps you know to to have the head space and the mental space to to think about things or maybe think a bit out of the box sometimes and also Singapore is a layout that allows you know maybe to to play around a bit with with some different strategies and some different ways of driving and uh I knew that if I wanted to win win uh given our race space and tire degradation I needed to play a bit or think a bit out of the box to to win and uh the plan worked well,0,Sainz
yes it's been part of my driving style or part in inherited in me since uh since I'm a driver since I am an F1 driver let's say is my way of racing and I always try to to to find things or different things to do in this competitive world is difficult because everyone thinks a lot and everyone is very competitive and everyone tries toto find the smallest of advantages butuh this time as I said I felt good and Itrusted a bit that instinct and that and that uh mental space to to think a bit out the box and and it worked,0,Sainz
not really I'm not going to lie I've been driving well or I feel like I've been good with the car this year um since the very beginning it is just that the the first half of the season was a bit rough in terms of never putting a full weekend together I only had a couple of clean weekends in Spain and uh where was the other one I don't even remember Canada wasn't too bad I had a couple of clean clean weekends but not many and um I said okay this second half I'm going to check with my Engineers what we're doing well what we need to do better to make sure uh we start putting together more solid weekends from fp1 all the way to quali and and race day strategy race execution we need to start putting it together if we want to start getting good points and um we found a couple of things and since then we're executing them and to be honest in sanord is is working very well and uh it's been three three strong races for me,0,Sainz
no it's there's nothing really outstanding that I've changed it's uh in F1 my my my experience tells me it's all about the incremental gains and the small details no and just finding small details with the setup with the car handling finding small details of how to drive the car adapting my driving uh finding ways to execute a better race with strategy with Tire management with the tires in general with the fp1 fp2 be more open to try different things on the car and um putting all those things together they give you half a tenth that might be enough to qualify one position ahead and that half a 10th then and one that one position ahead makes your strategy a bit easier makes your race management a bit easier so it's all very very small things that suddenly come together and you start getting better results,0,Sainz
I think Charles and I have always been very good at being super competitive and super close to each other on track all the time we are within a tenth of each other you know doesn't matter who is ahead or who is a bit more comfortable with the car the other one is always one1 behind or half a tenth behind you know when that's always been the case and that helps to push the team forward and at the same time it helps us to to to push each other forward on the driving side and um the good thing is that we know we both have equal opportunity every given race day and uh we we complement each other very well we respect each other and and and we always prioritize Ferrari on top of everything,0,Sainz
yeah as much as there is no number one now there was no number one in 21 no number one in 22 we are not fighting for a championship so it's not like you really uh there's one guy that is fighting for a for a championship and the other one has to support you know it was me last year when he finished second in the championship that in ababi I went with a spirit of trying to help him and trying to help the team to get P2 uh in Singapore he was more on that Spirit of trying to help to get the win we are always Whoever has to do the job for the team and for Ferrari will do and um it's all about that compenetracion and that companerism we have,0,Sainz
for sure there there's a bit more glimmer of hope as you say know suddenly that we've been competitive at tracks or we've beaten Red Bull in qualifying at tracks where three races ago in sord when we were nearly a second off the pace was unthinkable no and even beating Red Bull in a race One race ago was Unthinkable because they were half a minute to a minute in front at the end of a races to all of a sudden go and and win a race it's something uh something different something that gives us hope and it shows us that um that we if we keep working well we can cut the Gap and and make it but at the same time as we go back to normal trucks uh that are not the mons as or Singapore that are maybe the two extremes we expect Red Bull to be dominant again and us to be having to do a perfect job to get in the podium,0,Sainz
I think I was pretty good in McLaren too it was just that it was in a Midfield car and I was finishing P5 P6 p7s and it was getting more less noticed no or maybe less less picked up because it was not for a race win but I've been doing races like in Singapore also in McLaren to win the Midfield battles and win the Midfield championships it was just no one watched everyone says it was never on TV but uh I'm not going to lie Singapore is if not my best weekend in have one one of the best 100%,0,Sainz
um I know that my good level is is very good and I and Singapore proofs it no when I'm driving at my top level I feel like I can beat anyone and I can be as good as anyone in this p it's just how often you manage to be in that level which is the difficult side of a formal One driver I think all of us at our Peaks we are very good talents and very good at everything we do uh it's just how consistent you can be at your peak and obviously that's the the never ending challenge of being a Formula One driver always trying to keep yourself in top form,0,Sainz
I'm excited it's still early days but the car for next year is already taking shape we have very clear targets of what we want to achieve into next year's car why we still even if I look like I'm reasonably comfortable in this year's car I'm not I'm it's still a car that gives us a lot of headaches when it comes to Tire degradation tie wear race space we still struggle and in Singapore I was in the fastest car on truck uh come race day and still we manag to win which is good progress for Ferrari also in terms of race execution and and race um strategy you know and it's all these Gams that we want to do on next year's car that will allow us hopefully to have a better race car next year and have to think less out of the box to to win the races,0,Sainz
Singapore but also monsa even sunboard with the wet conditions we got it right went to box when not to box that's why that's also something that needs to be picked up as much as Ferrari has always recently received a lot of criticism for those things I think it's time not to give a bit of credit on that side to the team we still have a lot of work to do don't don't worry we know that but um at least we we are on the right path,0,Sainz
yeah and I'm glad he was up there with me to to to celebrate because he's obviously a very special contributor to to the changes and the the direction we're following recently uh he's a very strong team leader that is giving us very good um feedback and very good uh directions to follow as a team and uh yeah hopefully we can keep it that way and he can uh also start to to feel more comfortable and uh be ready for for the next few challenges that are coming,0,Sainz
yeah it's a a really shame you know that the that it happened um yeah I mean um not really a lot I'm lot words to to say you know it's a a disaster for the championship for both of us to end up a weekend like this uh where we definitely had a lot more on the table it's a a bit of a disaster,0,Checo
I think in in uh in my opinion um um Carlos moved too quickly um to follow the toe from uh from Charles so I think I do expect that uh I mean it it was just wrong time wrong moment and uh we got some work to do we sing with Max today you know a small setup difference and you are out of the window very quickly so uh yeah plenty of work to do going forwards hard luck thank you,0,Checo
yeah unfortunately uh we just not we were not able to maximize the result today it was a shame and um yeah it's now time to look forward for for for the the rest of the season because today was a a nightmare. A total nightmare a disaster uh with the balance I the struggle a lot yeah,0,Checo
I think yeah yeah unfortunately but in say we probably went went on too long unfortunately and that meant that we we lost out,0,Checo
"I think we we need a good upgrade, I think the the the coming trucks should should be better for us so hopefully we are able to to have a better package coming up",0,Checo
yeah it was a really bad uh but race for us um it started well on the first stint but um then the second stint was really complicated with the going onto the medium compound um that really hurt a lot you know when when uh I had to push and the gradation was just quite High and um yeah we had to do quite a short extin unfortunately and uh that compromise I think the the race time um  but ultimately we didn't have the pace today,0,Checo
yeah I've said it before you know I don't think I will be responding anymore to to any future speculation I'm I'm here with the team fully committed I think as a team we have a lot of stuff to focus on uh to get ourselves ready for this second half of the season I think uh I've had enough of this speculation I've said everything I had to and um yeah so uh it's time to take a break and uh regroup with the team and then get back to it,0,Checo
yeah yeah I don't know how to call it but uh a super weekend you know a weekend that uh I think with the limit on the pressure massively because every single session was so critical on this format you know it was really important to be able to to deliver when it matter you know I think yesterday we executed a perfect shot race and today once again we executed a tremendous race you know um that first thing to me was a key to my victory,0,Checo
I think generally speaking it's uh it's a truck where you require a lot of confidence you know a lot of corners  and um yeah you see that a lot of drivers clip goals during the race so I think it's all about confidence building that confidence lap of the lap and making sure you are on top of your car,0,Checo
yeah exactly I think if you know having three kids at home I wouldn't be traveling the world around the if I didn't believe that I can be a world champion and uh I'm working through towards that but obviously I mean there is so much you can talk outside the car I think it's important to deliver on the track and I think without the issues we have in qualifying in Melbourne we should be leading the championship so definitely there is everything to to believe that we can do well this year,0,Checo
yeah I was but it's one thing to have the pace another one to not to make mistakes and the third one is to have that pace with with the good management of the tires you know because I know Max and I know the way he pushes you to to take off and yeah it wasn't an easy an easy Victory because all already from the first end we were pushing massively each other  and on that second thing was it was the same so it was pretty much a race between us from a start to the end ,0,Checo
I think to be honest it's a it's a great relationship between me Max and myself  because although not many people believe we are very similar you know we have a life out of the sport and we when we are at home we we pretty much disconnect from it so um when we are on track we we come try to do the best possible job we try to reach each other I'm sure Max will look at my data I will look at his and we we are just pushing each other massively  and I think I think this year it's about not making those mistakes,0,Checo
I'm fighting for it you know but I also know that it's a long a massive uh road ahead  so I I need to keep my head down and just keep delivering,0,Checo
yeah yeah I remember the moment when basically I wasn't told what to do you know when we were just having a chat there and um with other the drivers and so on and I thought it was going to be a normal you know presentation normal parade and then all of the then I get someone shouting at my name and and I see him you know it was quite a funny moment,0,Checo
yeah it was pretty cool obviously with it's such an icon Bruce that was really really cool and um at the time I was just confused you know I had no idea where to go what to do um and um and then uh leis was looking for a lift because his car was not working so he took my car so we ended up going on both on on on on my car um it was quite a funny a funny day,0,Checo
um at the moment it's it's in in my room every time we at at my room at home we try I haven't brought it to I want to send it back to the office uh but we have and still still there at the room it's at a risky place you know with the kids they keep playing with it it`s still alive,0,Checo
it's just that when we arrive we we left it there and normally we have a like a like a a place like a family room and where we put all our trophies with my with my son and uh we we put it we put them on up there,0,Checo
uh around the 20th of December yeah because we had the we were quite busy after the season with Japan we had to go to Honda and um the the gala and then the team we had some celebration down in Milton Kings so it was really 20s or so of December,0,Checo
it's great it's um basically all the Honda drivers get together it's a massive event and as you can imagine the the fidget circuit is pretty much full and um the energy of the Japanese fans is is great  it was the bike from Mark he was explaining me how he does it and um we do some carting with the with Daniel with juki with Max so it's pretty cool event,0,Checo
it's hard to disconnect because you are always thinking what went wrong right wrong what you can improve how you can be a better driver how you can prepare better for next season so it's it's it's always in the back of your mind although um luckily uh when I'm home I I can be really far away and I have a life out of the sport but at the end of the day this is my life you know and I want to be the best possible I I possibly can so um it's it's difficult to to separate but um at times it's it works well and and when I'm at home I'm fully fully into my family and into my friends and uh yeah no not much formula one,0,Checo
oh on the break I don't train I don't train at all uh I try to but I think I went to the gym once or twice so not much uh,0,Checo
no I mean the thing is that we get back to it in January so effectively you get to two maximum three weeks of doing nothing it's very hard to lose any form you know you lose some but we do so much training when the when the year starts that uh doesn't change,0,Checo
same Hobbies uh golf carting now I'm more into carting with my son um we go together to to race football we play a lot of football now uh together and um basically my biggest hobby is to be with my family,0,Checo
he likes go but he doesn't have time to to play at the moment because he's so busy with football with football and and carting that he is really hard to get another sport,0,Checo
for for now it's just a hobby I mean it's a six-year-old kid he really likes it he enjoys it he's very competitive but um it's up to him um to do it I I will support him on anything that he wants to do of course but um it will be up to him,0,Checo
I think I was really lucky in a way on on on my carting carting days because um I couldn't afford to go to Europe to Italy so basically all my carting was on in Mexico um but I was always raising guys with a lot older ages than than myself so that was a good thing you know it kind of of um complemented in a in a way you know the lack of not being with in Europe with the Italian drivers with all the European drivers they they have a pretty high level um I will have love to to to to drive carting you know and in in Europe but we couldn't afford it so I think we there's nothing we we did wrong in my carting days with the opportunities that we have obviously I lack the opportunity to to do carting in Italy I think that would have helped a lot in those early days but we never had the opportunity,0,Checo
um well if he if he wants to at the moment he's racing mainly at my at my carting Tru with like 10 to 20 other other kids and um and yeah we'll see you know I think he he will do some later on some races in probably in the in the US in Mexico and then we see um when we come to Europe I think he will do some some more carting over here and um if he really wants to do it then I think once you go into into Italy you know he will have to to really see if he likes it or not,0,Checo
it's a massive a massive effort you know the only reason I'm here is because all all my family all together uh we gave it all and if that's his dream I think to me happiness is about pursuing your your dreams and if that's his dream I will support him although it it it hurts a lot you know to to lose a son that goes so early away but it will it will help him in the his character regardless of if he makes it or not into the sport into formula one it will help him so much you know so I will be really really proud for for for him to to pursue his dreams,0,Checo
